,Perc_probability,worry,flood_experience,perc_damage,self_efficacy_DP,self_efficacy_WP,resp_efficacy_DP,resp_efficacy_WP,perc_cost_DP,perc_cost_WP,implemented_DP,implemented_WP,perc_risk
348,0.0,0.0,0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
349,0.001,0.0,0,0.0,0.0,0.0,0.5833333333333334,0.5,0.5,1.0,0.0,0.0,0.0
350,0.001,0.75,0,0.25,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.00025
356,0.001,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
357,0.0,0.0,0,0.75,0.6666666666666666,0.5833333333333334,0.9166666666666667,1.0,0.5,0.6666666666666666,1.0,1.0,0.0
358,0.001,0.0,0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0
360,0.0,0.0,0,0.0,0.0,0.41666666666666663,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.75,0.0,0.0,0.0
361,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
362,0.001,0.0,0,0.25,0.5,0.16666666666666669,1.0,0.8333333333333333,0.16666666666666669,0.6666666666666666,0.0,0.0,0.00025
363,0.001,0.0,0,0.25,0.0,0.0,0.6666666666666666,0.41666666666666663,0.9166666666666667,0.9166666666666667,0.0,0.0,0.00025
366,0.005,0.0,0,0.0,0.0,0.0,0.08333333333333331,0.16666666666666669,1.0,0.8333333333333333,0.0,0.0,0.0
368,0.0,0.0,0,0.25,0.0,0.41666666666666663,0.5833333333333334,0.75,0.9166666666666667,1.0,0.0,0.0,0.0
370,0.0,0.0,0,0.25,0.08333333333333331,0.16666666666666669,0.75,0.0,1.0,1.0,0.0,0.0,0.0
