,wet-proofing,dry-proofing
Intercept,-2.38289,-4.67177
worry,0.83516,0.35241
perc_damage,0.15866,0.34518
Perc_probability,-0.34495,-0.0588
flood_experience,0.72487,0.2407
self_efficacy,0.64328,0.74314
resp_efficacy,0.42687,0.23785
perc_cost,-1.42589,-0.65049
done_other,1.63487,6.10513
